track_name,artist(s)_name,streams,in_deezer_playlists,in_shazam_charts,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,in_apple_playlists,in_apple_charts,in_deezer_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,date,rank,last-week,peak-rank,weeks-on-board
CORAZï¿½ï¿½N VA,Maria Becerra,43857627,18,93,1.0,2023.0,6.0,22.0,370.0,20.0,12.0,16.0,4.0,98.0,C#,Major,68.0,40.0,79.0,33.0,0.0,30.0,6.0,?,,,,
Riptide,Vance Joy,2009094673,"1,003",0,1.0,1975.0,1.0,1.0,31123.0,55.0,300.0,65.0,1.0,102.0,C#,Major,48.0,50.0,73.0,43.0,0.0,15.0,4.0,2015-05-09 00:00:00,50.0,42.0,30.0,44.0
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",600976848,71,115,2.0,2022.0,4.0,22.0,2790.0,30.0,60.0,96.0,0.0,101.0,A#,Major,34.0,32.0,57.0,78.0,0.0,20.0,3.0,?,,,,
Novidade na ï¿½ï¿,"Mc Livinho, DJ Matt D",39709092,25,72,2.0,2023.0,6.0,23.0,267.0,9.0,9.0,6.0,2.0,130.0,F,Major,63.0,36.0,34.0,76.0,0.0,35.0,9.0,?,,,,
Back To December (Taylor's Version),Taylor Swift,39228929,5,8,1.0,2023.0,7.0,7.0,139.0,17.0,16.0,72.0,0.0,142.0,D,Major,50.0,20.0,64.0,1.0,0.0,12.0,3.0,?,,,,
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2665343922,798,0,2.0,2021.0,7.0,9.0,17050.0,36.0,492.0,99.0,31.0,170.0,C#,Major,59.0,48.0,76.0,4.0,0.0,10.0,5.0,?,,,,
El Merengue,"Marshmello, Manuel Turizo",223633238,110,323,2.0,2023.0,3.0,3.0,2114.0,44.0,80.0,75.0,11.0,124.0,G#,Minor,78.0,70.0,68.0,3.0,1.0,11.0,4.0,?,,,,
Someone You Loved,Lewis Capaldi,2887241814,"1,800",,1.0,2018.0,11.0,8.0,17836.0,53.0,440.0,125.0,0.0,110.0,C#,Major,50.0,45.0,41.0,75.0,0.0,11.0,3.0,2020-05-30 00:00:00,20.0,18.0,1.0,54.0
Me Porto Bonito,"Chencho Corleone, Bad Bunny",1440757818,141,49,2.0,2022.0,5.0,6.0,8870.0,43.0,104.0,120.0,26.0,92.0,C#,Minor,91.0,43.0,71.0,9.0,0.0,9.0,8.0,?,,,,
Makeba,Jain,165484133,"2,703","1,451",1.0,2015.0,6.0,22.0,6060.0,53.0,150.0,148.0,22.0,116.0,D,Major,82.0,40.0,66.0,39.0,51.0,25.0,7.0,?,,,,
